RCtype,Par,ParFac,RC1,RC2,RC1fac,RC2fac,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_R34,log_R89,log_R8910,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OS,NP,-0.5,O,S,-0.5,0.5,4,16,20,53,main,1,0,0,0,mismatch2,0.562994003,0.44335103,0.514565945,2.219244957,0.613166094,0.413655996,1.148544073,0.594841957,4.14387989,0.346544027,2.304285049,0.708394051,n,7.274530172,2.750503769,2.646747722,2.71144104,3.346205242,2.787578132,2.616639324,3.060147665,2.774401594,3.617407159,2.539758418,3.362536202,2.850274905,3.436768471,3.675661217,3.706313664,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,20,80,100,53,main,1,0,0,0,mismatch2,1.449408054,0.728838205,2.036649942,1.014468193,0.528614044,0.547713041,1.215015173,0.445551872,0.53016305,2.840123892,1.51606679,0.557854176,n,6.087532997,3.16119067,2.86263113,3.308916389,3.006238435,2.723138697,2.738553082,3.084581701,2.648898273,2.724409456,3.453337285,3.180718334,2.746520688,3.484459023,2.989322947,3.581590021,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,17,68,85,54,main,0,0,0,1,mismatch2,0.260980844,0.374843121,0.261249781,0.896542072,0.830904007,0.429111958,0.444655895,0.378365994,0.630316019,0.480679989,0.444463015,0.440958023,n,1.122596979,2.416608631,2.573849545,2.417055935,2.952570674,2.919550853,2.632570617,2.648024054,2.577912097,2.799558345,2.681856043,2.647835628,2.644397249,3.063630489,3.003754276,3.17300027,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,4,16,20,54,main,1,0,0,0,mismatch2,0.344941139,1.129899025,1.382421017,1.431632996,1.331263065,1.014695883,1.5320189,0.845946789,2.384705067,0.42986393,0.781091928,0.605467796,n,5.89182806,2.537744993,3.053039634,3.140640328,3.155831699,3.124263883,3.006335898,3.185264123,2.927343046,3.377434674,2.633331005,2.89270215,2.782091049,3.449332429,3.50929016,3.563542284,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,20,80,100,54,main,1,0,0,0,mismatch2,0.378249884,0.561894178,1.265264988,0.929766178,1.097095013,2.068657875,1.314594984,3.805567026,1.36277914,0.496562004,8.001641035,0.407182932,n,2.43798995,2.577778804,2.749654532,3.102181491,2.968373744,3.040244241,3.315688671,3.118791971,3.580419375,3.134425477,2.695973485,3.903179064,2.609789565,3.341440691,3.713351594,3.753192874,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,1,4,5,54,main,0,0,0,1,match,0.410904884,0.425397873,0.429921865,0.444899082,1.49971509,0.396178007,1.163315058,0.479116917,3.021055937,1.09849596,0.563631058,0.473673105,y,8.891750097,2.613741303,2.628795314,2.633389533,2.64826151,3.176008761,2.597890363,3.06569735,2.680441506,3.480158767,3.040798464,2.750994916,2.675478726,2.941919173,3.544089492,3.662632134,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,16,64,80,54,main,1,0,0,0,mismatch2,0.511651039,1.196981907,1.732600927,0.428164005,3.788404942,0.447247982,1.029781103,4.207329988,1.516180992,0.981729031,0.511860847,1.276082039,y,4.879678965,2.70897386,3.078087586,3.238698542,2.631610154,3.578456394,2.65054839,3.012744918,3.624006576,3.180751048,2.991991634,2.709151911,3.105878596,3.334607523,3.75766252,3.826414328,0,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,12,48,60,54,main,1,0,0,0,mismatch2,0.227525949,0.17689991,0.194041014,0.228060961,0.21123004,0.246326923,0.260399103,0.244498968,0.227333784,0.229520798,0.278892994,0.206238985,y,3.604348898,2.357030934,2.247727612,2.287893535,2.35805095,2.324755681,2.391511882,2.415639484,2.38827703,2.356663981,2.360822045,2.445437605,2.314370763,2.625417384,2.673788084,2.845937,0,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,8,32,40,54,main,1,0,0,0,mismatch2,0.194444895,0.328136206,0.194977045,0.144222021,0.161138058,0.229792118,0.177795887,0.260948896,0.245835066,0.330077887,0.32891798,0.323754072,n,16.43364286,2.288796546,2.516054152,2.289983484,2.159031577,2.207198125,2.361335128,2.24992171,2.416555464,2.390643831,2.51861643,2.517087614,2.510215239,2.530454648,2.704822862,2.92265377,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
OS,NP,-0.5,O,S,-0.5,0.5,9,36,45,54,main,0,0,0,1,match,0.26107502,0.240925074,0.243700027,0.228203058,0.178638935,0.31278491,0.227210999,0.194250822,0.461961985,0.329433918,0.312738895,0.440191031,y,0.310386896,2.41676532,2.381882001,2.386855577,2.35832146,2.251976121,2.495245793,2.356429351,2.288362865,2.664606239,2.517768311,2.495181897,2.643641189,2.673852816,2.817044702,2.993721283,1,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0.5,0.4,0.6,0.8,0.575,0.5,0.6,0.4,0.2,0.425,0,-0.506694206,0.506694206,1.683242467,0.378236853,2.189936673,-0.506694206,1.176548261,0.506694206
